Transaction ID,Date,Customer ID,Customer Age,Customer Gender,Membership Status,Product Name,Category,Quantity Sold,Unit Price,Discount Applied (%),Total Sales,Payment Method,Store Location
d29a457d-01cb-4bc5-b3d8-771f74536e76,2025-02-13,6097,65,Non-Binary,Regular,Blender,Home & Kitchen,7,202.51,15,1204.93,Credit Card,Miami
9319548c-2584-4a9e-bdf8-24e108217845,2024-08-31,9436,47,Non-Binary,Gold,Smartphone,Electronics,10,724.58,5,6883.51,PayPal,Chicago
1fa2cfa1-6073-4515-a19c-80ed86cd0cce,2024-05-02,6067,62,Female,Regular,Yoga Mat,Sports,9,647.1,5,5532.7,PayPal,Houston
803a0c78-8937-4fde-92f0-60e76baca06b,2023-11-18,4242,46,Non-Binary,Regular,Headphones,Electronics,3,802.44,0,2407.32,PayPal,Miami
a4d8a2bb-169c-4202-b23a-4b505d87d9b5,2022-12-21,2774,75,Non-Binary,Platinum,Vacuum Cleaner,Home & Kitchen,5,74.38,10,334.71,Cash,New York
d47367cc-ecb7-47a7-8594-37538717a24b,2022-12-21,2841,29,Female,Platinum,Jeans,Clothing,10,625.73,5,5944.43,Credit Card,Los Angeles
85bfc086-5e3d-49e9-870d-1c05c1fa12b3,2022-11-24,8086,41,Non-Binary,Silver,Smartphone,Electronics,7,892.04,20,4995.42,Debit Card,Miami
4539ccb0-d03e-4589-a604-68010c62b30a,2023-02-17,6761,32,Male,Platinum,Jeans,Clothing,7,580.64,10,3658.03,Cash,Los Angeles
3edfd7ed-b38d-4c9d-8a6a-40fc2b2070f6,2025-03-05,1591,20,Male,Regular,Fiction,Books,2,435.8,15,740.86,Debit Card,Houston
15feea3b-8bdd-4dae-ae10-e8c2c2dcfdea,2024-04-25,2185,66,Male,Silver,Coffee Maker,Home & Kitchen,9,371.38,15,2841.06,PayPal,New York
a92e9b33-1300-4fa2-8b42-ca222f157e9a,2022-09-04,1533,62,Non-Binary,Regular,Fiction,Books,9,624.26,20,4494.67,Cash,Los Angeles
